ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code
Bj,Beijing,Eurasia,39.94,116.12,beij1234,
Ty,Taiyuan,Eurasia,37.86,112.40,taiy1243,
Yz,Yangzhou,Eurasia,32.42,119.21,yang1306,
Sz,Suzhou,Eurasia,31.33,120.36,suzh1234,
Wz,Wenzhou,Eurasia,28.01,120.70,ouji1238,
Cs,Changsha,Eurasia,28.85,112.94,chan1326,
Sf,Shuangfeng,Eurasia,27.46,111.92,shua1258,
Nc,Nanchang,Eurasia,28.71,115.86,nanc1254,
Mx,Meixian,Eurasia,24.35,115.89,yuet1238,
Gz,Guangzhou,Eurasia,23.13,112.95,guan1279,
Jy,Jiangyong,Eurasia,25.27,111.34,jian1243,